Netflix Subscription,Savings,Entertainment,Monthly,15,15.0
Gym Membership,Savings,Utilities,Monthly,1,50.0
Office Rent,Business,Rent,Monthly,5,1000.0
Weekly Groceries,Checking,Groceries,Weekly,7,80.0
Electricity Bill,Savings,Utilities,Monthly,20,50.0
Water Bill,Savings,Utilities,Monthly,25,30.0
Internet Bill,Savings,Utilities,Monthly,4,60.0
Insurance Premium,Savings,Utilities,Monthly,1,100.0
Client Meeting,business,Entertainment,Quarterly,1,300.0
Yearly Subscription,Savings,Entertainment,Yearly,1,120.0
